,GENDER,AGE_GRP,MARR_STTS,JOB_NM,INCOME,TRAVEL_NUM,TRAVEL_STYL_1,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_MOTIVE_1,TRAVEL_COMPANIONS_NUM,MONTH,SEASON,HOW_LONG,TRAVELER_ID,cluster,cluster_name
42,여,30,1,2,5,2,3,경기도,제주,2인 여행(가족 외),2,1,6,summer,4,h000531,4,느슨하게 떠나는 듀오 무드러
43,여,30,2,1,4,1,2,제주특별자치도,제주,자녀 동반 여행,9,2,9,autumn,2,h006629,1,자연집중 번개여행 패밀리
44,여,20,1,1,7,2,2,경기도,제주,2인 여행(가족 외),3,1,6,summer,4,h000536,4,느슨하게 떠나는 듀오 무드러
45,남,30,1,3,5,1,2,서울특별시,제주,부모 동반 여행,2,3,6,summer,4,h000480,7,패밀리 무드 ON 스탠다드러
46,여,20,1,4,4,1,2,부산광역시,제주,2인 여행(가족 외),3,1,6,summer,3,h001557,4,느슨하게 떠나는 듀오 무드러
47,여,30,2,3,4,6,4,대구광역시,제주,3인 이상 여행(가족 외),2,3,5,spring,5,h000111,7,패밀리 무드 ON 스탠다드러
48,남,20,1,3,4,10,4,서울특별시,제주,2인 여행(가족 외),2,1,8,summer,4,h004523,2,탐험 ON한 듀오 트래블러
49,여,50,2,4,2,1,1,경기도,제주,3인 이상 여행(가족 외),6,3,7,summer,3,h001466,7,패밀리 무드 ON 스탠다드러
50,남,20,1,12,3,4,6,충청북도,제주,3인 이상 여행(가족 외),1,2,6,summer,4,h001103,6,뉴트럴바이브 듀오 스테이러
51,여,20,1,12,2,2,4,서울특별시,제주,3인 이상 여행(가족 외),2,2,8,summer,4,h005312,6,뉴트럴바이브 듀오 스테이러
52,여,40,2,4,4,2,1,서울특별시,제주,2인 여행(가족 외),3,1,7,summer,2,h000683,1,자연집중 번개여행 패밀리
53,여,50,2,4,4,4,2,경기도,제주,자녀 동반 여행,2,3,6,summer,5,h000464,7,패밀리 무드 ON 스탠다드러
54,남,40,1,2,4,1,4,제주특별자치도,제주,나홀로 여행,2,0,9,autumn,1,h006540,3,솔로감성 잠깐 리프레시러
55,남,30,2,3,3,8,1,서울특별시,제주,자녀 동반 여행,3,2,6,summer,4,h000585,2,탐험 ON한 듀오 트래블러
56,여,40,2,3,6,3,2,서울특별시,제주,2인 가족 여행,2,1,5,spring,3,h000200,4,느슨하게 떠나는 듀오 무드러
57,남,20,1,12,4,1,5,서울특별시,제주,2인 여행(가족 외),3,1,6,summer,4,h001073,4,느슨하게 떠나는 듀오 무드러
58,남,20,1,2,1,5,1,인천광역시,제주,3인 이상 여행(가족 외),2,3,8,summer,4,h003540,6,뉴트럴바이브 듀오 스테이러
59,여,30,1,3,4,1,2,제주특별자치도,제주,2인 여행(가족 외),3,1,5,spring,2,h000351,3,솔로감성 잠깐 리프레시러
60,남,20,1,12,2,3,2,서울특별시,제주,나홀로 여행,2,0,8,summer,4,h004207,6,뉴트럴바이브 듀오 스테이러
61,여,20,1,12,1,2,6,충청북도,제주,3대 동반 여행(친척 포함),1,2,8,summer,3,h005494,6,뉴트럴바이브 듀오 스테이러
62,여,20,1,3,4,6,4,경기도,제주,2인 가족 여행,3,1,8,summer,3,h003406,2,탐험 ON한 듀오 트래블러
63,남,20,1,3,4,2,4,제주특별자치도,제주,나홀로 여행,1,0,9,autumn,1,h006608,3,솔로감성 잠깐 리프레시러
64,여,20,1,3,4,1,1,충청남도,제주,2인 여행(가족 외),9,1,7,summer,3,h001502,4,느슨하게 떠나는 듀오 무드러
65,여,50,2,2,9,2,5,제주특별자치도,제주,3인 이상 여행(가족 외),7,3,6,summer,1,h001120,5,차분템포 자연수집 패밀리
66,남,30,1,3,4,5,3,서울특별시,제주,3인 이상 여행(가족 외),1,2,7,summer,3,h001526,4,느슨하게 떠나는 듀오 무드러
67,여,50,2,2,7,1,6,제주특별자치도,제주,2인 가족 여행,3,1,9,autumn,1,h006534,1,자연집중 번개여행 패밀리
68,남,20,1,12,1,1,3,경기도,제주,2인 가족 여행,2,1,8,summer,3,h002815,6,뉴트럴바이브 듀오 스테이러
69,남,30,1,2,4,1,4,서울특별시,제주,2인 여행(가족 외),1,1,8,summer,3,h003204,4,느슨하게 떠나는 듀오 무드러
70,여,30,1,3,4,1,3,경기도,제주,3인 이상 여행(가족 외),3,2,8,summer,3,h002656,4,느슨하게 떠나는 듀오 무드러
71,여,30,1,3,3,2,4,서울특별시,제주,2인 여행(가족 외),1,1,7,summer,5,h001421,4,느슨하게 떠나는 듀오 무드러
72,여,30,2,11,1,1,1,서울특별시,제주,자녀 동반 여행,3,2,6,summer,5,h000806,7,패밀리 무드 ON 스탠다드러
73,남,50,4,3,7,1,3,대전광역시,제주,부모 동반 여행,1,3,6,summer,4,h000817,5,차분템포 자연수집 패밀리
74,여,50,1,3,3,1,4,제주특별자치도,제주,나홀로 여행,7,0,9,autumn,1,h006874,3,솔로감성 잠깐 리프레시러
75,여,30,1,2,4,4,1,서울특별시,제주,3인 이상 여행(가족 외),3,2,5,spring,7,h000496,7,패밀리 무드 ON 스탠다드러
76,남,30,1,2,5,6,4,경기도,제주,나홀로 여행,4,0,6,summer,4,h000555,4,느슨하게 떠나는 듀오 무드러
77,여,30,1,2,3,5,2,서울특별시,제주,2인 여행(가족 외),2,1,6,summer,3,h001464,2,탐험 ON한 듀오 트래블러
78,남,50,1,4,10,2,1,제주특별자치도,제주,2인 여행(가족 외),3,1,6,summer,3,h001223,5,차분템포 자연수집 패밀리
79,남,20,1,12,1,1,2,제주특별자치도,제주,2인 여행(가족 외),1,1,8,summer,1,h005495,3,솔로감성 잠깐 리프레시러
80,여,30,1,3,5,4,2,서울특별시,제주,나홀로 여행,7,0,6,summer,3,h000912,4,느슨하게 떠나는 듀오 무드러
81,남,40,2,11,3,1,1,서울특별시,제주,3인 이상 여행(가족 외),5,3,6,summer,3,h000574,7,패밀리 무드 ON 스탠다드러
82,여,20,1,2,2,10,4,전라북도,제주,2인 여행(가족 외),2,1,8,summer,3,h005641,2,탐험 ON한 듀오 트래블러
83,여,30,2,2,5,3,2,제주특별자치도,제주,나홀로 여행,1,0,9,autumn,1,h006495,3,솔로감성 잠깐 리프레시러
84,남,40,2,2,2,3,2,제주특별자치도,제주,나홀로 여행,2,0,6,summer,1,h000217,3,솔로감성 잠깐 리프레시러
85,여,30,1,4,4,2,4,서울특별시,제주,2인 가족 여행,9,1,5,spring,3,h000091,4,느슨하게 떠나는 듀오 무드러
86,남,50,1,2,1,1,1,서울특별시,제주,2인 여행(가족 외),6,1,8,summer,5,h004101,6,뉴트럴바이브 듀오 스테이러
87,남,30,1,12,1,1,2,인천광역시,제주,2인 여행(가족 외),3,1,8,summer,6,h003849,6,뉴트럴바이브 듀오 스테이러
88,여,30,2,3,4,2,1,제주특별자치도,제주,자녀 동반 여행,3,1,9,autumn,1,h006592,1,자연집중 번개여행 패밀리
89,여,30,1,12,2,2,1,광주광역시,제주,2인 여행(가족 외),2,1,6,summer,3,h000701,6,뉴트럴바이브 듀오 스테이러
90,여,20,1,2,4,4,1,경기도,제주,2인 가족 여행,2,1,8,summer,3,h005865,6,뉴트럴바이브 듀오 스테이러
91,남,30,1,2,3,4,5,제주특별자치도,제주,2인 여행(가족 외),3,1,7,summer,1,h001671,3,솔로감성 잠깐 리프레시러
92,여,40,2,2,6,1,4,경기도,제주,자녀 동반 여행,1,2,8,summer,4,h004234,5,차분템포 자연수집 패밀리
93,여,30,1,12,1,1,3,경기도,제주,3인 이상 여행(가족 외),3,7,6,summer,4,h001258,0,자연에 진심인 힐링패밀리
94,여,20,1,12,4,3,2,경기도,제주,2인 가족 여행,3,1,8,summer,3,h003827,6,뉴트럴바이브 듀오 스테이러
95,여,30,5,3,3,1,1,대전광역시,제주,2인 여행(가족 외),2,1,6,summer,3,h000280,4,느슨하게 떠나는 듀오 무드러
96,남,20,1,2,3,1,4,서울특별시,제주,나홀로 여행,4,0,7,summer,3,h002007,6,뉴트럴바이브 듀오 스테이러
97,남,30,2,7,5,4,4,제주특별자치도,제주,나홀로 여행,2,0,9,autumn,1,h006679,3,솔로감성 잠깐 리프레시러
98,여,20,1,12,2,1,1,경기도,제주,나홀로 여행,1,0,9,autumn,5,h003895,6,뉴트럴바이브 듀오 스테이러
99,여,30,1,12,2,2,4,서울특별시,제주,2인 여행(가족 외),2,1,6,summer,5,h000826,6,뉴트럴바이브 듀오 스테이러
100,남,30,2,4,4,1,1,경기도,제주,자녀 동반 여행,3,2,6,summer,3,h000713,7,패밀리 무드 ON 스탠다드러
101,여,60,4,9,4,4,1,경기도,제주,2인 가족 여행,1,1,8,summer,5,h003876,4,느슨하게 떠나는 듀오 무드러
102,남,50,2,1,12,4,5,서울특별시,제주,나홀로 여행,2,0,6,summer,4,h000495,5,차분템포 자연수집 패밀리
103,남,40,1,4,5,3,3,세종특별자치시,제주,2인 여행(가족 외),1,1,6,summer,3,h000858,4,느슨하게 떠나는 듀오 무드러
104,여,50,2,3,2,4,4,서울특별시,제주,2인 여행(가족 외),1,1,7,summer,2,h002198,6,뉴트럴바이브 듀오 스테이러
105,여,40,1,2,5,2,3,제주특별자치도,제주,나홀로 여행,2,0,8,summer,2,h002349,3,솔로감성 잠깐 리프레시러
106,여,30,1,13,3,3,1,경기도,제주,2인 여행(가족 외),7,1,8,summer,3,h002976,6,뉴트럴바이브 듀오 스테이러
107,남,30,1,3,4,3,1,제주특별자치도,제주,2인 여행(가족 외),7,1,9,autumn,1,h006567,3,솔로감성 잠깐 리프레시러
108,남,50,2,2,3,1,4,제주특별자치도,제주,자녀 동반 여행,3,2,7,summer,2,h001788,1,자연집중 번개여행 패밀리
109,남,20,1,12,3,1,6,대구광역시,제주,2인 여행(가족 외),3,1,8,summer,2,h004219,6,뉴트럴바이브 듀오 스테이러
110,남,30,1,12,2,5,2,제주특별자치도,제주,2인 여행(가족 외),1,1,9,autumn,1,h006455,3,솔로감성 잠깐 리프레시러
111,남,20,1,3,4,4,6,광주광역시,제주,2인 여행(가족 외),3,1,5,spring,3,h000250,4,느슨하게 떠나는 듀오 무드러
112,여,20,1,3,4,2,3,서울특별시,제주,2인 여행(가족 외),2,1,8,summer,4,h005252,4,느슨하게 떠나는 듀오 무드러
113,여,40,2,3,5,1,1,부산광역시,제주,자녀 동반 여행,1,4,6,summer,6,h000742,7,패밀리 무드 ON 스탠다드러
114,여,30,1,2,4,3,4,대전광역시,제주,2인 여행(가족 외),3,1,7,summer,3,h002338,4,느슨하게 떠나는 듀오 무드러
115,여,20,1,12,3,1,3,서울특별시,제주,2인 여행(가족 외),3,1,8,summer,3,h005428,6,뉴트럴바이브 듀오 스테이러
116,남,30,1,3,5,2,6,강원도,제주,3인 이상 여행(가족 외),7,2,5,spring,4,h000329,4,느슨하게 떠나는 듀오 무드러
117,여,30,1,2,4,2,2,충청남도,제주,2인 여행(가족 외),1,1,6,summer,3,h000656,4,느슨하게 떠나는 듀오 무드러
118,여,20,1,3,4,1,2,전라남도,제주,2인 여행(가족 외),2,1,8,summer,3,h004385,4,느슨하게 떠나는 듀오 무드러
119,남,30,1,13,1,2,4,전라남도,제주,2인 가족 여행,2,1,8,summer,5,h005464,6,뉴트럴바이브 듀오 스테이러
120,여,30,1,2,2,2,2,경상남도,제주,2인 여행(가족 외),3,1,6,summer,4,h001215,6,뉴트럴바이브 듀오 스테이러
121,남,20,1,3,5,4,1,서울특별시,제주,2인 여행(가족 외),5,1,8,summer,4,h002964,4,느슨하게 떠나는 듀오 무드러
122,남,30,2,4,5,1,2,제주특별자치도,제주,2인 가족 여행,3,1,7,summer,3,h002138,4,느슨하게 떠나는 듀오 무드러
123,여,50,1,13,6,3,2,서울특별시,제주,2인 가족 여행,1,1,6,summer,4,h001283,4,느슨하게 떠나는 듀오 무드러
124,여,20,1,2,4,5,1,경기도,제주,나홀로 여행,1,0,5,spring,3,h000105,4,느슨하게 떠나는 듀오 무드러
125,여,40,1,13,4,5,1,전라북도,제주,2인 여행(가족 외),7,1,6,summer,3,h001610,4,느슨하게 떠나는 듀오 무드러
126,남,40,2,3,3,4,4,인천광역시,제주,자녀 동반 여행,8,2,6,summer,4,h000871,7,패밀리 무드 ON 스탠다드러
127,남,40,2,2,4,2,2,광주광역시,제주,자녀 동반 여행,3,3,7,summer,5,h002285,7,패밀리 무드 ON 스탠다드러
128,여,40,2,3,2,3,6,광주광역시,제주,자녀 동반 여행,9,2,6,summer,4,h001136,7,패밀리 무드 ON 스탠다드러
129,여,20,1,3,4,7,2,광주광역시,제주,부모 동반 여행,2,2,8,summer,3,h004446,2,탐험 ON한 듀오 트래블러
130,남,50,2,13,8,4,6,서울특별시,제주,자녀 동반 여행,3,1,7,summer,3,h000758,5,차분템포 자연수집 패밀리
131,여,40,1,2,4,1,6,서울특별시,제주,2인 여행(가족 외),2,1,6,summer,3,h001211,4,느슨하게 떠나는 듀오 무드러
132,여,30,1,3,3,10,2,경기도,제주,2인 여행(가족 외),3,1,8,summer,4,h005234,2,탐험 ON한 듀오 트래블러
133,여,40,2,13,6,3,4,대구광역시,제주,3인 이상 여행(가족 외),2,3,8,summer,4,h002723,5,차분템포 자연수집 패밀리
134,남,50,2,3,5,1,4,제주특별자치도,제주,자녀 동반 여행,8,3,9,autumn,1,h006668,1,자연집중 번개여행 패밀리
135,남,30,1,12,2,10,2,강원도,제주,2인 여행(가족 외),3,1,6,summer,3,h000676,2,탐험 ON한 듀오 트래블러
136,여,20,1,12,2,6,3,충청북도,제주,나홀로 여행,2,0,7,summer,3,h001835,2,탐험 ON한 듀오 트래블러
137,여,30,1,12,1,4,2,인천광역시,제주,2인 여행(가족 외),2,1,6,summer,3,h001121,6,뉴트럴바이브 듀오 스테이러
138,여,20,1,4,2,2,5,부산광역시,제주,2인 여행(가족 외),2,1,8,summer,3,h003726,6,뉴트럴바이브 듀오 스테이러
139,여,40,1,3,5,3,4,제주특별자치도,제주,나홀로 여행,10,0,8,summer,2,h005226,3,솔로감성 잠깐 리프레시러
140,여,30,1,3,4,1,2,제주특별자치도,제주,2인 가족 여행,3,1,9,autumn,1,h006528,3,솔로감성 잠깐 리프레시러
141,여,30,1,4,4,2,4,서울특별시,제주,2인 가족 여행,4,1,8,summer,4,h005311,4,느슨하게 떠나는 듀오 무드러
142,남,30,1,1,5,1,2,경기도,제주,2인 여행(가족 외),3,1,8,summer,4,h002955,4,느슨하게 떠나는 듀오 무드러
143,여,30,1,13,6,1,2,경기도,제주,2인 여행(가족 외),3,1,8,summer,4,h004315,4,느슨하게 떠나는 듀오 무드러
144,여,40,2,11,1,1,4,서울특별시,제주,자녀 동반 여행,2,3,6,summer,5,h000186,7,패밀리 무드 ON 스탠다드러
145,여,20,1,12,2,1,3,서울특별시,제주,나홀로 여행,7,0,5,spring,3,h000248,6,뉴트럴바이브 듀오 스테이러
146,남,30,1,3,6,1,1,서울특별시,제주,2인 여행(가족 외),3,1,8,summer,4,h003006,4,느슨하게 떠나는 듀오 무드러
147,여,40,2,4,4,2,1,제주특별자치도,제주,2인 가족 여행,1,1,7,summer,1,h002170,1,자연집중 번개여행 패밀리
148,여,20,1,12,2,6,4,부산광역시,제주,나홀로 여행,1,0,8,summer,2,h004621,2,탐험 ON한 듀오 트래블러
149,남,30,1,13,8,3,1,제주특별자치도,제주,2인 여행(가족 외),3,1,7,summer,1,h001831,1,자연집중 번개여행 패밀리
150,여,30,1,12,1,4,4,강원도,제주,2인 여행(가족 외),1,1,8,summer,3,h005177,6,뉴트럴바이브 듀오 스테이러
151,여,40,1,3,6,3,4,서울특별시,제주,나홀로 여행,7,0,6,summer,8,h000584,4,느슨하게 떠나는 듀오 무드러
152,여,20,1,4,4,4,4,충청북도,제주,2인 여행(가족 외),7,1,7,summer,5,h002379,4,느슨하게 떠나는 듀오 무드러
153,여,20,1,2,5,1,2,경기도,제주,2인 여행(가족 외),1,1,7,summer,4,h002293,4,느슨하게 떠나는 듀오 무드러
154,남,30,1,2,5,1,5,제주특별자치도,제주,나홀로 여행,4,0,7,summer,3,h001724,4,느슨하게 떠나는 듀오 무드러
155,여,40,1,3,4,6,3,부산광역시,제주,2인 여행(가족 외),1,1,7,summer,3,h001032,2,탐험 ON한 듀오 트래블러
156,여,50,2,4,4,1,2,충청남도,제주,2인 가족 여행,6,1,6,summer,5,h000599,4,느슨하게 떠나는 듀오 무드러
157,여,30,2,11,1,5,4,서울특별시,제주,자녀 동반 여행,3,2,8,summer,5,h005713,7,패밀리 무드 ON 스탠다드러
158,여,30,1,3,4,5,4,경상남도,제주,나홀로 여행,1,0,5,spring,3,h000070,4,느슨하게 떠나는 듀오 무드러
159,여,40,2,4,2,4,1,제주특별자치도,제주,자녀 동반 여행,9,3,7,summer,3,h001874,7,패밀리 무드 ON 스탠다드러
160,남,40,2,3,6,3,1,서울특별시,제주,3인 이상 여행(가족 외),3,3,5,spring,3,h000258,5,차분템포 자연수집 패밀리
161,여,30,1,13,1,1,2,광주광역시,제주,2인 여행(가족 외),2,1,5,spring,4,h000222,6,뉴트럴바이브 듀오 스테이러
162,여,20,1,2,5,2,2,서울특별시,제주,나홀로 여행,2,0,6,summer,3,h000557,4,느슨하게 떠나는 듀오 무드러
163,여,30,1,1,5,5,4,서울특별시,제주,2인 여행(가족 외),3,1,9,autumn,3,h004215,4,느슨하게 떠나는 듀오 무드러
164,여,40,2,13,3,1,2,제주특별자치도,제주,3인 이상 여행(가족 외),1,2,6,summer,2,h000313,1,자연집중 번개여행 패밀리
165,남,20,1,4,3,1,2,제주특별자치도,제주,2인 여행(가족 외),2,1,7,summer,2,h002283,6,뉴트럴바이브 듀오 스테이러
166,여,30,2,3,3,1,2,제주특별자치도,제주,부모 동반 여행,3,5,8,summer,1,h004877,1,자연집중 번개여행 패밀리
167,여,30,1,12,2,5,4,서울특별시,제주,2인 여행(가족 외),1,1,6,summer,5,h001127,6,뉴트럴바이브 듀오 스테이러
168,여,30,2,3,4,5,5,서울특별시,제주,2인 가족 여행,1,1,8,summer,4,h002550,4,느슨하게 떠나는 듀오 무드러
169,남,30,1,9,4,1,3,충청남도,제주,2인 여행(가족 외),3,1,8,summer,3,h004179,4,느슨하게 떠나는 듀오 무드러
170,여,20,1,2,4,3,2,경기도,제주,2인 여행(가족 외),1,1,8,summer,4,h004327,4,느슨하게 떠나는 듀오 무드러
171,남,20,1,12,2,3,3,서울특별시,제주,2인 여행(가족 외),2,1,7,summer,3,h001617,6,뉴트럴바이브 듀오 스테이러
172,여,50,2,2,2,1,3,전라북도,제주,2인 가족 여행,2,1,7,summer,4,h002251,6,뉴트럴바이브 듀오 스테이러
173,남,20,1,2,7,1,1,전라북도,제주,나홀로 여행,2,0,8,summer,5,h004361,5,차분템포 자연수집 패밀리
174,여,30,2,12,1,1,2,인천광역시,제주,2인 가족 여행,2,1,8,summer,4,h004105,6,뉴트럴바이브 듀오 스테이러
175,남,50,2,2,4,1,2,제주특별자치도,제주,자녀 동반 여행,6,2,9,autumn,1,h006635,1,자연집중 번개여행 패밀리
176,남,50,2,3,6,1,1,서울특별시,제주,자녀 동반 여행,7,2,6,summer,3,h001025,5,차분템포 자연수집 패밀리
177,남,20,1,3,4,2,3,서울특별시,제주,2인 여행(가족 외),3,1,8,summer,4,h003036,4,느슨하게 떠나는 듀오 무드러
178,남,50,2,5,1,1,4,대구광역시,제주,자녀 동반 여행,7,4,7,summer,4,h001398,7,패밀리 무드 ON 스탠다드러
179,여,30,1,2,4,1,2,제주특별자치도,제주,2인 여행(가족 외),2,1,8,summer,1,h004402,3,솔로감성 잠깐 리프레시러
180,여,50,2,2,4,5,2,제주특별자치도,제주,2인 가족 여행,2,1,9,autumn,1,h006494,1,자연집중 번개여행 패밀리
181,남,30,2,9,3,2,4,제주특별자치도,제주,자녀 동반 여행,2,2,7,summer,2,h002498,1,자연집중 번개여행 패밀리
182,남,30,2,2,6,1,4,서울특별시,제주,부모 동반 여행,1,2,9,autumn,3,h002899,5,차분템포 자연수집 패밀리
183,여,20,1,2,4,2,4,경상남도,제주,2인 여행(가족 외),3,1,8,summer,5,h005271,4,느슨하게 떠나는 듀오 무드러
184,여,30,2,3,2,3,4,대구광역시,제주,2인 가족 여행,2,1,6,summer,3,h001089,6,뉴트럴바이브 듀오 스테이러
185,여,30,1,3,4,3,3,충청남도,제주,나홀로 여행,1,0,7,summer,4,h002263,4,느슨하게 떠나는 듀오 무드러
186,여,40,2,5,1,1,6,서울특별시,제주,3인 이상 여행(가족 외),2,2,6,summer,2,h000486,6,뉴트럴바이브 듀오 스테이러
187,남,20,1,12,1,2,1,서울특별시,제주,3인 이상 여행(가족 외),6,4,8,summer,3,h004845,7,패밀리 무드 ON 스탠다드러
188,여,40,2,3,4,1,3,경기도,제주,3대 동반 여행(친척 포함),3,4,6,summer,3,h000753,7,패밀리 무드 ON 스탠다드러
189,여,40,2,5,4,1,5,광주광역시,제주,2인 여행(가족 외),5,1,6,summer,3,h001282,4,느슨하게 떠나는 듀오 무드러
190,여,30,1,2,4,4,3,서울특별시,제주,2인 여행(가족 외),6,1,8,summer,5,h005459,4,느슨하게 떠나는 듀오 무드러
191,남,20,1,3,4,2,3,충청북도,제주,2인 여행(가족 외),7,1,7,summer,4,h002631,4,느슨하게 떠나는 듀오 무드러
192,여,50,2,3,5,1,1,경기도,제주,자녀 동반 여행,3,3,6,summer,4,h000614,7,패밀리 무드 ON 스탠다드러
