,TRAVELER_ID,GENDER,AGE_GRP,MARR_STTS,JOB_NM,INCOME,TRAVEL_NUM,TRAVEL_STYL_1,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_MOTIVE_1,TRAVEL_COMPANIONS_NUM,MONTH,SEASON,HOW_LONG
29,h002182,여,20,1,12,1,2,2,경상남도,제주,2인 여행(가족 외),2,1,7,summer,4
30,g003339,남,30,2,3,4,6,2,광주광역시,전남,자녀 동반 여행,1,2,7,summer,2
31,e003395,여,20,1,3,4,1,4,경기도,인천,3인 이상 여행(가족 외),3,3,6,summer,2
32,g002810,남,20,5,3,4,2,4,충청북도,전남,2인 여행(가족 외),3,1,7,summer,2
33,h000237,여,40,2,3,4,2,4,서울특별시,제주,2인 가족 여행,1,1,6,summer,3
34,h002421,남,30,1,12,2,3,2,충청남도,제주,2인 여행(가족 외),9,1,7,summer,3
35,h002525,여,40,1,1,5,3,5,서울특별시,제주,나홀로 여행,1,0,8,summer,3
36,h001206,여,20,1,12,1,2,4,울산광역시,제주,2인 여행(가족 외),3,1,6,summer,3
37,h006304,여,40,2,2,4,2,2,인천광역시,제주,3인 이상 여행(가족 외),2,3,9,autumn,2
38,e003048,여,50,2,11,1,5,5,경기도,경기,3인 이상 여행(가족 외),3,3,6,summer,1
39,h000533,남,40,1,3,6,2,3,경기도,제주,2인 여행(가족 외),1,1,6,summer,4
40,h000478,여,60,4,3,3,2,1,인천광역시,제주,나홀로 여행,1,0,6,summer,3
41,g004477,남,20,1,12,4,10,1,경기도,전북,2인 여행(가족 외),3,1,7,summer,2
42,e002442,여,20,1,4,4,2,1,경기도,서울,나홀로 여행,2,0,6,summer,2
43,h001965,남,30,1,13,1,5,2,대전광역시,제주,나홀로 여행,4,0,7,summer,3
44,h004330,여,30,2,4,3,1,3,울산광역시,제주,자녀 동반 여행,3,3,8,summer,5
45,h004325,여,50,4,3,2,1,5,광주광역시,제주,2인 가족 여행,1,1,8,summer,3
46,h004045,남,20,1,12,2,2,2,인천광역시,제주,2인 여행(가족 외),3,1,8,summer,2
47,h001084,여,20,1,4,2,3,2,경기도,제주,2인 여행(가족 외),7,1,6,summer,5
48,g002547,남,50,4,3,5,8,3,부산광역시,전남,2인 여행(가족 외),7,1,6,summer,2
49,g004321,남,30,2,2,5,6,4,전라남도,전남,자녀 동반 여행,2,3,7,summer,2
50,f006600,여,20,1,3,4,3,1,경기도,강원,3인 이상 여행(가족 외),5,3,8,summer,2
51,h001316,남,30,1,3,4,1,4,제주특별자치도,제주,2인 여행(가족 외),5,1,6,summer,3
52,h000624,여,30,2,11,1,6,1,경기도,제주,3대 동반 여행(친척 포함),3,2,6,summer,4
53,h001457,남,20,1,2,4,2,3,경기도,제주,나홀로 여행,2,0,7,summer,8
54,f004382,여,30,2,5,3,1,3,부산광역시,경남,3인 이상 여행(가족 외),1,3,7,summer,2
55,f005522,남,30,1,7,6,3,5,경상북도,경남,2인 여행(가족 외),3,1,8,summer,2
56,h004143,남,30,1,2,4,1,2,경기도,제주,2인 여행(가족 외),2,1,8,summer,4
57,h002524,여,50,2,2,5,3,1,서울특별시,도서 지역,자녀 동반 여행,3,4,7,summer,1
58,h001340,여,20,1,7,5,5,3,경기도,제주,2인 여행(가족 외),6,1,6,summer,3
59,h003327,여,20,1,12,2,6,5,경기도,제주,2인 여행(가족 외),3,1,8,summer,4
60,e003012,여,40,1,5,5,1,2,서울특별시,경기,3인 이상 여행(가족 외),1,2,6,summer,1
61,g002673,여,50,2,2,3,5,1,충청남도,충남,자녀 동반 여행,1,2,7,summer,2
62,e002642,남,20,1,4,6,1,1,서울특별시,경기,2인 여행(가족 외),1,1,6,summer,2
63,h004324,남,30,2,11,1,4,2,경기도,제주,자녀 동반 여행,3,2,8,summer,2
64,f003213,여,20,1,3,4,12,6,경상남도,대구,2인 여행(가족 외),1,1,6,summer,1
65,h002927,남,30,1,5,6,1,4,충청북도,제주,2인 여행(가족 외),2,1,8,summer,4
66,h005110,여,20,1,3,3,3,3,충청남도,제주,나홀로 여행,2,0,9,autumn,4
67,g004947,남,30,1,9,4,1,3,경기도,전남,2인 여행(가족 외),1,1,8,summer,4
68,h002611,여,30,1,3,4,2,6,서울특별시,제주,3인 이상 여행(가족 외),3,2,8,summer,4
69,h002905,남,30,1,13,2,4,2,광주광역시,제주,3인 이상 여행(가족 외),2,3,8,summer,3
70,g002803,여,20,1,2,4,4,1,광주광역시,전남,3인 이상 여행(가족 외),2,5,6,summer,2
71,h000768,여,50,2,3,6,6,2,대전광역시,제주,자녀 동반 여행,1,2,6,summer,8
72,h006305,남,30,1,2,4,1,2,서울특별시,도서 지역,2인 여행(가족 외),1,1,9,autumn,2
73,h004399,남,40,2,2,6,1,1,제주특별자치도,제주,2인 가족 여행,7,1,8,summer,1
74,h003980,여,50,1,2,7,2,3,서울특별시,제주,2인 여행(가족 외),2,1,8,summer,3
75,h000490,남,30,2,2,7,10,1,경기도,제주,나홀로 여행,4,0,6,summer,2
76,h000531,여,30,1,2,5,2,3,경기도,제주,2인 여행(가족 외),2,1,6,summer,4
77,g003978,남,40,2,4,5,4,2,부산광역시,전남,자녀 동반 여행,3,4,7,summer,2
78,h006629,여,30,2,1,4,1,2,제주특별자치도,제주,자녀 동반 여행,9,2,9,autumn,2
79,e002930,남,20,1,12,2,1,7,경기도,경기,2인 여행(가족 외),7,1,6,summer,2
80,g003790,여,20,1,3,4,1,2,전라남도,전남,2인 여행(가족 외),2,1,7,summer,2
81,h000536,여,20,1,1,7,2,2,경기도,제주,2인 여행(가족 외),3,1,6,summer,4
82,h000480,남,30,1,3,5,1,2,서울특별시,제주,부모 동반 여행,2,3,6,summer,4
83,h001557,여,20,1,4,4,1,2,부산광역시,제주,2인 여행(가족 외),3,1,6,summer,3
84,f006208,여,30,1,3,5,5,2,대구광역시,부산,2인 여행(가족 외),3,1,8,summer,2
85,h000111,여,30,2,3,4,6,4,대구광역시,제주,3인 이상 여행(가족 외),2,3,5,spring,5
86,h004523,남,20,1,3,4,10,4,서울특별시,제주,2인 여행(가족 외),2,1,8,summer,4
87,h001466,여,50,2,4,2,1,1,경기도,제주,3인 이상 여행(가족 외),6,3,7,summer,3
88,f003243,여,50,2,3,1,1,1,경기도,강원,2인 가족 여행,2,1,6,summer,1
89,h001103,남,20,1,12,3,4,6,충청북도,제주,3인 이상 여행(가족 외),1,2,6,summer,4
90,e003397,남,40,1,4,4,1,1,경기도,도서 지역,2인 가족 여행,1,1,6,summer,2
91,h005312,여,20,1,12,2,2,4,서울특별시,제주,3인 이상 여행(가족 외),2,2,8,summer,4
92,h000683,여,40,2,4,4,2,1,서울특별시,제주,2인 여행(가족 외),3,1,7,summer,2
93,g002100,남,30,2,3,4,2,6,광주광역시,전남,자녀 동반 여행,3,1,6,summer,2
94,e002458,남,40,2,2,7,1,1,경기도,경기,자녀 동반 여행,3,3,6,summer,2
95,e000463,남,40,2,3,7,3,1,서울특별시,인천,2인 여행(가족 외),7,1,5,spring,3
96,h000464,여,50,2,4,4,4,2,경기도,제주,자녀 동반 여행,2,3,6,summer,5
97,h006540,남,40,1,2,4,1,4,제주특별자치도,제주,나홀로 여행,2,0,9,autumn,1
98,h000585,남,30,2,3,3,8,1,서울특별시,제주,자녀 동반 여행,3,2,6,summer,4
99,h000200,여,40,2,3,6,3,2,서울특별시,제주,2인 가족 여행,2,1,5,spring,3
100,g004407,여,30,1,3,4,2,2,경기도,전북,부모 동반 여행,3,2,7,summer,2
101,f000438,남,30,2,11,1,4,2,서울특별시,경남,자녀 동반 여행,3,3,5,spring,7
102,h001073,남,20,1,12,4,1,5,서울특별시,제주,2인 여행(가족 외),3,1,6,summer,4
103,h003540,남,20,1,2,1,5,1,인천광역시,제주,3인 이상 여행(가족 외),2,3,8,summer,4
104,h000351,여,30,1,3,4,1,2,제주특별자치도,제주,2인 여행(가족 외),3,1,5,spring,2
105,g001042,여,50,2,3,8,4,2,경기도,충남,2인 가족 여행,8,1,5,spring,1
106,h004207,남,20,1,12,2,3,2,서울특별시,제주,나홀로 여행,2,0,8,summer,4
107,h005494,여,20,1,12,1,2,6,충청북도,제주,3대 동반 여행(친척 포함),1,2,8,summer,3
108,g005979,여,40,2,3,4,6,5,대전광역시,전북,자녀 동반 여행,1,3,8,summer,3
109,h003406,여,20,1,3,4,6,4,경기도,제주,2인 가족 여행,3,1,8,summer,3
110,f001254,여,30,2,2,7,1,5,경상남도,경북,3대 동반 여행(친척 포함),1,5,5,spring,3
111,h001811,남,40,2,7,6,2,7,전라북도,도서 지역,자녀 동반 여행,2,1,7,summer,2
112,h006608,남,20,1,3,4,2,4,제주특별자치도,제주,나홀로 여행,1,0,9,autumn,1
113,g004512,여,30,1,2,3,1,7,경기도,충남,2인 여행(가족 외),3,1,7,summer,1
114,h001502,여,20,1,3,4,1,1,충청남도,제주,2인 여행(가족 외),9,1,7,summer,3
115,h001120,여,50,2,2,9,2,5,제주특별자치도,제주,3인 이상 여행(가족 외),7,3,6,summer,1
116,h001526,남,30,1,3,4,5,3,서울특별시,제주,3인 이상 여행(가족 외),1,2,7,summer,3
117,h006361,여,40,2,3,1,4,3,서울특별시,도서 지역,부모 동반 여행,3,2,9,autumn,1
118,h006534,여,50,2,2,7,1,6,제주특별자치도,제주,2인 가족 여행,3,1,9,autumn,1
119,h002815,남,20,1,12,1,1,3,경기도,제주,2인 가족 여행,2,1,8,summer,3
120,h003204,남,30,1,2,4,1,4,서울특별시,제주,2인 여행(가족 외),1,1,8,summer,3
121,e004684,남,30,2,5,7,1,1,서울특별시,인천,3인 이상 여행(가족 외),7,2,7,summer,2
122,e001393,여,30,1,2,4,5,7,서울특별시,인천,나홀로 여행,5,0,6,summer,3
123,g002061,여,40,2,3,4,1,2,경기도,전북,2인 가족 여행,9,1,7,summer,2
124,h002656,여,30,1,3,4,1,3,경기도,제주,3인 이상 여행(가족 외),3,2,8,summer,3
125,h001421,여,30,1,3,3,2,4,서울특별시,제주,2인 여행(가족 외),1,1,7,summer,5
126,e009659,여,20,1,2,4,4,4,서울특별시,경기,2인 가족 여행,1,1,8,summer,1
127,g003041,남,30,1,3,4,2,2,서울특별시,충남,나홀로 여행,7,0,6,summer,2
128,h001202,여,20,1,3,5,4,2,경기도,도서 지역,2인 여행(가족 외),1,1,6,summer,3
129,h000806,여,30,2,11,1,1,1,서울특별시,제주,자녀 동반 여행,3,2,6,summer,5
130,f002852,남,50,2,8,9,4,2,경기도,강원,3인 이상 여행(가족 외),3,3,6,summer,2
131,h000817,남,50,4,3,7,1,3,대전광역시,제주,부모 동반 여행,1,3,6,summer,4
132,h006874,여,50,1,3,3,1,4,제주특별자치도,제주,나홀로 여행,7,0,9,autumn,1
133,f000396,여,50,2,11,1,4,4,경기도,경남,2인 가족 여행,3,1,5,spring,3
134,f000895,여,50,2,2,3,5,4,충청남도,강원,2인 가족 여행,9,1,5,spring,2
135,h000496,여,30,1,2,4,4,1,서울특별시,제주,3인 이상 여행(가족 외),3,2,5,spring,7
136,g004774,남,50,2,11,4,4,2,서울특별시,전남,자녀 동반 여행,1,2,8,summer,2
137,h000555,남,30,1,2,5,6,4,경기도,제주,나홀로 여행,4,0,6,summer,4
138,h001464,여,30,1,2,3,5,2,서울특별시,제주,2인 여행(가족 외),2,1,6,summer,3
139,h001223,남,50,1,4,10,2,1,제주특별자치도,제주,2인 여행(가족 외),3,1,6,summer,3
140,f007507,남,20,1,12,2,3,2,경기도,강원,2인 여행(가족 외),2,1,8,summer,2
141,g004995,남,20,1,3,5,5,1,서울특별시,충남,2인 여행(가족 외),7,1,8,summer,2
142,h005495,남,20,1,12,1,1,2,제주특별자치도,제주,2인 여행(가족 외),1,1,8,summer,1
143,h000912,여,30,1,3,5,4,2,서울특별시,제주,나홀로 여행,7,0,6,summer,3
144,e009028,여,30,1,3,4,1,2,서울특별시,인천,2인 여행(가족 외),1,1,8,summer,1
145,h000574,남,40,2,11,3,1,1,서울특별시,제주,3인 이상 여행(가족 외),5,3,6,summer,3
146,g005893,남,40,2,3,5,1,2,광주광역시,전북,자녀 동반 여행,2,2,8,summer,3
147,h005641,여,20,1,2,2,10,4,전라북도,제주,2인 여행(가족 외),2,1,8,summer,3
148,h006495,여,30,2,2,5,3,2,제주특별자치도,제주,나홀로 여행,1,0,9,autumn,1
149,h000217,남,40,2,2,2,3,2,제주특별자치도,제주,나홀로 여행,2,0,6,summer,1
150,h000091,여,30,1,4,4,2,4,서울특별시,제주,2인 가족 여행,9,1,5,spring,3
151,f001915,남,50,2,9,5,3,2,전라남도,경남,자녀 동반 여행,3,2,5,spring,2
152,f001278,남,50,2,4,8,2,3,부산광역시,경북,자녀 동반 여행,3,3,6,summer,3
153,f001904,여,50,2,2,3,4,2,경기도,강원,자녀 동반 여행,3,2,6,summer,2
154,f002113,여,40,2,4,3,2,1,경기도,경북,2인 가족 여행,3,1,6,summer,2
155,h004101,남,50,1,2,1,1,1,서울특별시,제주,2인 여행(가족 외),6,1,8,summer,5
156,h003849,남,30,1,12,1,1,2,인천광역시,제주,2인 여행(가족 외),3,1,8,summer,6
157,g004743,여,40,1,3,3,1,4,부산광역시,전남,3인 이상 여행(가족 외),7,3,8,summer,1
158,g003592,남,40,1,4,4,1,1,부산광역시,전남,2인 여행(가족 외),5,1,7,summer,2
159,h006592,여,30,2,3,4,2,1,제주특별자치도,제주,자녀 동반 여행,3,1,9,autumn,1
160,h000701,여,30,1,12,2,2,1,광주광역시,제주,2인 여행(가족 외),2,1,6,summer,3
161,f003481,여,50,2,3,4,1,4,경상남도,경남,3인 이상 여행(가족 외),6,2,6,summer,1
162,h005865,여,20,1,2,4,4,1,경기도,제주,2인 가족 여행,2,1,8,summer,3
163,h001671,남,30,1,2,3,4,5,제주특별자치도,제주,2인 여행(가족 외),3,1,7,summer,1
164,f006922,여,40,2,2,5,3,5,부산광역시,경남,2인 여행(가족 외),2,1,8,summer,2
165,h004234,여,40,2,2,6,1,4,경기도,제주,자녀 동반 여행,1,2,8,summer,4
166,f005820,여,20,1,13,4,2,4,경기도,부산,2인 여행(가족 외),5,1,8,summer,2
167,e003047,남,60,2,3,4,2,5,경기도,인천,3인 이상 여행(가족 외),1,7,6,summer,1
168,h001258,여,30,1,12,1,1,3,경기도,제주,3인 이상 여행(가족 외),3,7,6,summer,4
169,e003722,여,20,1,13,5,3,4,경기도,도서 지역,2인 여행(가족 외),7,1,6,summer,1
170,e003879,여,20,1,2,4,5,3,경기도,인천,2인 여행(가족 외),2,1,6,summer,2
171,h003827,여,20,1,12,4,3,2,경기도,제주,2인 가족 여행,3,1,8,summer,3
172,h000280,여,30,5,3,3,1,1,대전광역시,제주,2인 여행(가족 외),2,1,6,summer,3
173,h002007,남,20,1,2,3,1,4,서울특별시,제주,나홀로 여행,4,0,7,summer,3
174,g000504,여,20,2,13,4,1,1,경기도,전북,2인 여행(가족 외),1,1,5,spring,3
175,h006679,남,30,2,7,5,4,4,제주특별자치도,제주,나홀로 여행,2,0,9,autumn,1
176,h006405,여,40,2,2,4,10,2,인천광역시,도서 지역,자녀 동반 여행,3,3,9,autumn,1
177,g002039,남,50,4,13,3,3,6,경기도,전남,2인 여행(가족 외),2,1,6,summer,2
178,h003895,여,20,1,12,2,1,1,경기도,제주,나홀로 여행,1,0,9,autumn,5
179,h000826,여,30,1,12,2,2,4,서울특별시,제주,2인 여행(가족 외),2,1,6,summer,5
180,h000713,남,30,2,4,4,1,1,경기도,제주,자녀 동반 여행,3,2,6,summer,3
181,h006341,남,40,2,2,4,2,2,서울특별시,도서 지역,자녀 동반 여행,3,3,9,autumn,2
182,g003777,여,20,1,12,2,6,3,대전광역시,전남,나홀로 여행,2,0,7,summer,2
183,h003876,여,60,4,9,4,4,1,경기도,제주,2인 가족 여행,1,1,8,summer,5
184,g002678,여,40,2,4,2,2,4,경기도,전남,자녀 동반 여행,7,4,6,summer,2
185,e000335,여,30,1,2,4,2,4,경기도,서울,2인 여행(가족 외),5,1,5,spring,1
186,h000495,남,50,2,1,12,4,5,서울특별시,제주,나홀로 여행,2,0,6,summer,4
187,h000858,남,40,1,4,5,3,3,세종특별자치시,제주,2인 여행(가족 외),1,1,6,summer,3
188,h002198,여,50,2,3,2,4,4,서울특별시,제주,2인 여행(가족 외),1,1,7,summer,2
189,h002349,여,40,1,2,5,2,3,제주특별자치도,제주,나홀로 여행,2,0,8,summer,2
190,f001533,여,20,1,12,2,6,4,대구광역시,부산,2인 여행(가족 외),3,1,5,spring,3
191,f001876,남,50,2,11,1,3,4,충청남도,경북,자녀 동반 여행,8,3,5,spring,2
192,h002976,여,30,1,13,3,3,1,경기도,제주,2인 여행(가족 외),7,1,8,summer,3
193,e005480,여,30,1,13,3,3,2,제주특별자치도,경기,2인 여행(가족 외),10,1,7,summer,2
194,e002703,남,50,2,2,8,3,2,경기도,인천,2인 가족 여행,8,1,6,summer,1
195,h006567,남,30,1,3,4,3,1,제주특별자치도,제주,2인 여행(가족 외),7,1,9,autumn,1
196,h001788,남,50,2,2,3,1,4,제주특별자치도,제주,자녀 동반 여행,3,2,7,summer,2
197,h004219,남,20,1,12,3,1,6,대구광역시,제주,2인 여행(가족 외),3,1,8,summer,2
198,e007762,남,40,2,3,6,8,4,서울특별시,인천,자녀 동반 여행,8,2,8,summer,1
199,h006455,남,30,1,12,2,5,2,제주특별자치도,제주,2인 여행(가족 외),1,1,9,autumn,1
200,h000250,남,20,1,3,4,4,6,광주광역시,제주,2인 여행(가족 외),3,1,5,spring,3
201,h005252,여,20,1,3,4,2,3,서울특별시,제주,2인 여행(가족 외),2,1,8,summer,4
202,h000742,여,40,2,3,5,1,1,부산광역시,제주,자녀 동반 여행,1,4,6,summer,6
203,g004837,여,40,2,3,3,1,2,서울특별시,충남,자녀 동반 여행,1,4,8,summer,2
204,h002338,여,30,1,2,4,3,4,대전광역시,제주,2인 여행(가족 외),3,1,7,summer,3
205,h005428,여,20,1,12,3,1,3,서울특별시,제주,2인 여행(가족 외),3,1,8,summer,3
206,h000329,남,30,1,3,5,2,6,강원도,제주,3인 이상 여행(가족 외),7,2,5,spring,4
207,h000656,여,30,1,2,4,2,2,충청남도,제주,2인 여행(가족 외),1,1,6,summer,3
208,f001650,남,40,2,3,5,4,3,충청남도,경북,3대 동반 여행(친척 포함),3,4,5,spring,2
209,h004385,여,20,1,3,4,1,2,전라남도,제주,2인 여행(가족 외),2,1,8,summer,3
210,h005464,남,30,1,13,1,2,4,전라남도,제주,2인 가족 여행,2,1,8,summer,5
211,e001297,여,30,1,2,6,1,3,서울특별시,경기,2인 여행(가족 외),4,1,5,spring,1
212,h001215,여,30,1,2,2,2,2,경상남도,제주,2인 여행(가족 외),3,1,6,summer,4
213,h002964,남,20,1,3,5,4,1,서울특별시,제주,2인 여행(가족 외),5,1,8,summer,4
214,g005682,남,20,1,8,6,3,5,경상북도,제주,나홀로 여행,4,0,8,summer,3
215,e002926,남,40,2,11,5,3,1,서울특별시,경기,3인 이상 여행(가족 외),3,2,6,summer,1
216,h002138,남,30,2,4,5,1,2,제주특별자치도,제주,2인 가족 여행,3,1,7,summer,3
217,h001283,여,50,1,13,6,3,2,서울특별시,제주,2인 가족 여행,1,1,6,summer,4
218,h000105,여,20,1,2,4,5,1,경기도,제주,나홀로 여행,1,0,5,spring,3
219,e003244,여,50,2,2,4,3,2,경기도,인천,자녀 동반 여행,1,4,6,summer,2
220,f001504,남,20,1,13,1,1,4,경기도,경북,나홀로 여행,8,0,5,spring,3
221,h001610,여,40,1,13,4,5,1,전라북도,제주,2인 여행(가족 외),7,1,6,summer,3
222,h000871,남,40,2,3,3,4,4,인천광역시,제주,자녀 동반 여행,8,2,6,summer,4
223,g003245,여,50,2,3,5,1,2,서울특별시,전남,2인 가족 여행,7,1,7,summer,2
224,f003397,여,30,1,13,2,5,2,경상남도,경남,3인 이상 여행(가족 외),2,2,6,summer,1
225,e002280,남,40,2,3,5,3,3,서울특별시,경기,자녀 동반 여행,1,2,6,summer,2
226,e002971,남,30,1,13,4,1,2,경기도,경기,2인 여행(가족 외),5,1,6,summer,1
227,h002285,남,40,2,2,4,2,2,광주광역시,제주,자녀 동반 여행,3,3,7,summer,5
228,h001136,여,40,2,3,2,3,6,광주광역시,제주,자녀 동반 여행,9,2,6,summer,4
229,h003925,여,60,1,5,5,6,1,충청남도,도서 지역,자녀 동반 여행,9,2,8,summer,4
230,h004446,여,20,1,3,4,7,2,광주광역시,제주,부모 동반 여행,2,2,8,summer,3
231,h000758,남,50,2,13,8,4,6,서울특별시,제주,자녀 동반 여행,3,1,7,summer,3
232,h001211,여,40,1,2,4,1,6,서울특별시,제주,2인 여행(가족 외),2,1,6,summer,3
233,h005234,여,30,1,3,3,10,2,경기도,제주,2인 여행(가족 외),3,1,8,summer,4
234,g004767,여,40,2,3,1,3,2,광주광역시,전남,자녀 동반 여행,2,3,8,summer,2
235,e002499,남,30,1,2,5,3,5,경기도,경기,2인 여행(가족 외),3,1,6,summer,2
236,g004801,여,20,1,2,4,3,5,전라북도,전남,2인 여행(가족 외),1,1,8,summer,2
237,h002723,여,40,2,13,6,3,4,대구광역시,제주,3인 이상 여행(가족 외),2,3,8,summer,4
238,f000814,여,30,1,3,4,4,1,서울특별시,강원,2인 여행(가족 외),2,1,5,spring,2
239,g002695,여,20,1,4,3,2,6,경상북도,대전,3인 이상 여행(가족 외),5,2,6,summer,2
240,f004927,여,30,1,2,5,1,2,대구광역시,경남,3인 이상 여행(가족 외),3,4,8,summer,2
241,h006668,남,50,2,3,5,1,4,제주특별자치도,제주,자녀 동반 여행,8,3,9,autumn,1
242,f006904,여,30,1,3,4,6,7,대전광역시,부산,부모 동반 여행,1,2,8,summer,2
243,h000676,남,30,1,12,2,10,2,강원도,제주,2인 여행(가족 외),3,1,6,summer,3
244,h001835,여,20,1,12,2,6,3,충청북도,제주,나홀로 여행,2,0,7,summer,3
245,f006515,남,40,2,3,5,2,2,광주광역시,경남,자녀 동반 여행,9,2,8,summer,2
246,g002451,남,20,1,2,4,1,3,광주광역시,전남,3인 이상 여행(가족 외),6,6,6,summer,2
247,f003630,여,40,2,2,2,5,2,경상남도,경남,3인 이상 여행(가족 외),6,4,6,summer,1
248,f005277,여,40,2,2,4,4,2,서울특별시,부산,자녀 동반 여행,1,2,8,summer,2
249,e006195,남,50,4,4,3,3,1,경상북도,인천,자녀 동반 여행,3,3,8,summer,3
250,h001121,여,30,1,12,1,4,2,인천광역시,제주,2인 여행(가족 외),2,1,6,summer,3
251,h003726,여,20,1,4,2,2,5,부산광역시,제주,2인 여행(가족 외),2,1,8,summer,3
252,h005226,여,40,1,3,5,3,4,제주특별자치도,제주,나홀로 여행,10,0,8,summer,2
253,h006528,여,30,1,3,4,1,2,제주특별자치도,제주,2인 가족 여행,3,1,9,autumn,1
254,h005311,여,30,1,4,4,2,4,서울특별시,제주,2인 가족 여행,4,1,8,summer,4
255,g002406,여,50,3,2,4,2,1,부산광역시,전남,2인 여행(가족 외),2,1,6,summer,2
256,h002955,남,30,1,1,5,1,2,경기도,제주,2인 여행(가족 외),3,1,8,summer,4
257,h004315,여,30,1,13,6,1,2,경기도,제주,2인 여행(가족 외),3,1,8,summer,4
258,h000186,여,40,2,11,1,1,4,서울특별시,제주,자녀 동반 여행,2,3,6,summer,5
259,f003328,여,20,1,13,1,1,2,경상남도,경남,2인 여행(가족 외),2,1,6,summer,1
260,g004825,여,30,1,2,4,1,2,대전광역시,충남,2인 여행(가족 외),3,1,8,summer,2
261,e003166,여,20,1,3,4,10,2,경기도,서울,2인 여행(가족 외),2,1,6,summer,1
262,g002458,여,40,2,3,6,1,2,경기도,충북,자녀 동반 여행,1,3,6,summer,2
263,e004244,남,30,1,2,6,3,6,서울특별시,인천,2인 여행(가족 외),3,1,7,summer,1
264,h000248,여,20,1,12,2,1,3,서울특별시,제주,나홀로 여행,7,0,5,spring,3
265,h003006,남,30,1,3,6,1,1,서울특별시,제주,2인 여행(가족 외),3,1,8,summer,4
266,h002170,여,40,2,4,4,2,1,제주특별자치도,제주,2인 가족 여행,1,1,7,summer,1
267,e003720,여,20,1,4,4,1,1,서울특별시,인천,2인 여행(가족 외),2,1,7,summer,2
268,f005745,여,20,1,12,1,3,4,경상남도,경남,2인 여행(가족 외),1,1,8,summer,1
269,e003800,여,20,1,3,4,1,2,서울특별시,인천,2인 여행(가족 외),2,1,6,summer,1
270,f001742,남,40,2,2,5,2,3,대구광역시,경북,자녀 동반 여행,1,3,5,spring,1
